-0.011, 0.071, 0.968, -8.55, -3.153, 3.061
-0.006, 0.039, 0.965, -11.466, -8.206, 3.542
0.005, 0.053, 0.962, -12.969, -10.153, 3.458
0.01, 0.007, 0.973, -15.053, -12.45, 0.725
0.042, -0.02, 0.991, -9.321, -10.534, 2.427
0.056, -0.004, 0.967, -4.069, -9.053, 2.557
0.062, -0.01, 0.944, 1.473, -8.748, 3.122
0.021, -0.036, 0.965, 2.672, -8.176, 5.504
0.01, 0.008, 0.93, -0.962, -11.084, 6.137
0.029, 0.062, 0.911, 0.038, -12.099, 7.901
0.011, -0.015, 0.953, -3.71, -10.618, 8.634
0.03, -0.014, 0.932, -3.817, -11.748, 7.969
0.075, -0.001, 0.906, -3.832, -7.183, 4.038
0.053, 0.002, 0.93, -4.847, -5.061, 0.435
0.069, 0.001, 0.922, -6.023, -3.069, -2.908
0.058, 0.022, 0.919, -6.16, -2.198, -4.023
0.052, 0.024, 0.907, -6.267, -2.282, -4.115
0.062, 0.025, 0.91, -4.412, -0.565, -2.244
0.057, 0.028, 0.921, -3.893, 0.183, -1.313
0.058, 0.036, 0.922, -3.511, 0.076, 1.427
0.066, 0.038, 0.897, -3.13, 2.191, 2.725
0.05, 0.053, 0.903, -5.053, 4.092, 2.687
0.027, 0.061, 0.894, -6.802, 4.405, 2.214
0.005, 0.082, 0.932, -9.87, 1.298, 1.153
0.018, 0.073, 0.93, -12.153, -0.351, 0.435
0.017, 0.047, 0.937, -12.718, -2.84, 2.473
0.031, 0.03, 0.951, -13.344, -4.092, 3.107
0.059, 0.008, 0.937, -13.107, -3.427, 1.679
0.073, -0.012, 0.942, -11.13, -1.511, 1.58
0.073, -0.004, 0.929, -9.695, 0.176, 0.519
0.075, 0.009, 0.905, -8.466, 1.397, 1.305
0.047, 0.035, 0.918, -8.053, 1.618, 2.71
0.031, 0.038, 0.939, -8.55, 1.092, 4.664
0.038, 0.031, 0.947, -8.198, 0.656, 5.656
0.035, 0.018, 0.952, -8.649, -0.779, 6.305
0.043, 0.012, 0.937, -9.573, -1.221, 6.893
0.05, -0.01, 0.939, -9.985, -3.191, 6.618
0.061, -0.03, 0.938, -8.641, -2.626, 6.099
0.072, -0.03, 0.936, -7.107, -1.328, 4.489
0.073, -0.029, 0.928, -5.603, -0.573, 3.359
0.058, -0.013, 0.933, -4.763, 0.13, 2.794
0.059, -0.007, 0.94, -3.595, 0.969, 2.168
0.076, -0.022, 0.937, -2.313, 2.153, 2.298
0.077, -0.036, 0.932, -1.527, 1.817, 2.282
0.079, -0.036, 0.923, -1.412, 1.084, 2.084
0.072, -0.025, 0.93, -1.389, 0.031, 2.588
0.064, -0.007, 0.928, -1.832, -0.496, 2.267
0.066, -0.016, 0.934, -2.229, -1.435, 2.969
0.069, -0.015, 0.929, -1.634, -1.344, 2.779
0.077, -0.027, 0.93, -1.076, -1.786, 2.015
0.086, -0.037, 0.932, -0.221, -2.008, 1.031
