0.178, -0.026, 0.91, -1.26, -1.328, -0.534
0.205, 0.007, 0.922, -1.519, -0.473, -0.695
0.208, 0.028, 0.933, -2.061, -0.137, 0.473
0.211, 0.031, 0.933, -2.588, 0.618, 2.351
0.213, 0.034, 0.93, -3.26, 1.847, 3.092
0.183, 0.016, 0.943, -2.641, 0.015, 4.641
0.165, -0.012, 0.939, -2.069, -1.107, 4.237
0.164, -0.026, 0.93, -2.58, -1.298, 2.16
0.174, -0.009, 0.928, -3.305, -0.847, -0.305
0.204, 0.009, 0.926, -4.733, 0.885, -2.092
0.229, 0.04, 0.919, -5.145, 1.214, -0.695
0.238, 0.042, 0.921, -4.901, 1.878, 2.229
0.226, 0.019, 0.915, -3.573, -0.321, 4.183
0.211, -0.006, 0.924, -2.519, -0.847, 5.626
0.19, -0.024, 0.903, -2.366, 0.588, 5.389
0.186, -0.042, 0.923, -2.656, 0.405, 2.893
0.188, -0.03, 0.908, -3.298, 1.16, 1.229
0.209, -0.011, 0.913, -3.183, 1.145, 0.588
0.208, -0.001, 0.898, -2.252, 1.038, 1.092
0.204, -0.009, 0.917, -0.618, 0.321, 1.786
0.184, -0.013, 0.936, -0.099, -0.695, 1.405
0.184, -0.009, 0.927, -0.954, 0.198, 0.313
0.197, -0.001, 0.921, -2.092, 1.115, -1.298
0.206, 0.009, 0.901, -2.023, 2.359, -1.328
0.221, 0.032, 0.91, -0.748, 1.176, 1.122
0.229, 0.033, 0.908, -0.611, 1.924, 4.214
0.196, 0.008, 0.922, 0.786, -1.649, 5.939
0.172, -0.012, 0.927, 0.351, -2.885, 4.969
0.177, -0.018, 0.942, -1.977, -0.458, 2.168
0.181, -0.009, 0.925, -4.023, 1.389, -1.359
0.21, 0.002, 0.908, -3.29, 0.908, -2.183
0.227, 0.029, 0.891, -2.053, 0.542, -1.176
0.228, 0.034, 0.92, -1.626, 1.374, 0.397
0.208, 0.03, 0.906, -1.641, 0.679, 1.756
0.214, 0.025, 0.918, -1.458, 0.511, 3.252
0.2, 0.019, 0.917, -1.328, 0.603, 4.198
0.192, 0.009, 0.933, -2.008, 0.397, 4.366
0.188, -0.006, 0.936, -3.313, 0.527, 3.053
0.188, -0.008, 0.92, -4.847, 2.137, 1.267
0.199, -0.01, 0.898, -4.366, 2.954, 1.282
0.204, 0.002, 0.903, -3.031, 1.496, 0.275
0.202, 0.001, 0.913, -3.397, 2.603, 1.076
0.201, -0.004, 0.914, -3.748, 2.496, 1.328
0.197, -0.017, 0.92, -3.076, 2.863, 1.496
0.191, -0.023, 0.914, -1.962, 1.588, 1.168
0.205, -0.011, 0.922, -1.412, 0.16, 0.55
0.207, -0.001, 0.905, -0.969, 1.389, 0.275
0.215, 0.018, 0.92, -0.58, 0.351, 0.763
0.214, 0.028, 0.925, -1.29, 1.16, 1.038
0.203, 0.019, 0.933, -1.969, 0.779, 1.985
0.202, 0.013, 0.931, -2.321, 0.634, 2.321
0.197, 0.015, 0.92, -3.092, 1.893, 2.504
0.178, -0.002, 0.928, -2.779, 0.702, 3.015
0.182, -0.02, 0.924, -2.359, 0.672, 2.809
0.186, -0.014, 0.923, -2.641, 1.435, 2.069
0.2, -0.008, 0.906, -3.336, 1.702, -0.053
0.214, -0.002, 0.901, -3.351, 1.351, -0.656
0.221, -0.0, 0.892, -1.992, 1.527, 0.023
0.213, 0.024, 0.916, -0.626, 1.183, 1.153
0.185, 0.03, 0.943, -0.84, 0.153, 2.656
0.187, 0.018, 0.946, -1.924, -0.046, 2.702
