0.203, -0.254, 0.865, 39.71, 3.756, -21.656
0.228, -0.201, 0.884, 36.595, 4.87, -26.718
0.208, -0.2, 0.906, 32.053, 8.405, -31.466
0.219, -0.182, 0.882, 28.321, 12.748, -30.008
0.18, -0.188, 0.895, 25.221, 9.924, -23.962
0.194, -0.165, 0.889, 23.496, 9.573, -21.893
0.217, -0.162, 0.889, 25.282, 2.221, -19.992
0.224, -0.147, 0.885, 23.786, 0.473, -14.679
0.278, -0.133, 0.877, 20.74, 5.901, -15.58
0.237, -0.151, 0.865, 18.977, 8.252, -14.229
0.213, -0.153, 0.875, 19.649, 9.374, -15.786
0.228, -0.138, 0.901, 18.718, 11.939, -17.008
0.188, -0.125, 0.915, 16.611, 12.344, -17.038
0.212, -0.114, 0.933, 13.55, 11.237, -15.588
0.24, -0.09, 0.896, 10.122, 15.534, -14.305
0.196, -0.106, 0.926, 9.611, 12.794, -12.206
0.184, -0.11, 0.955, 4.74, 13.336, -9.42
0.172, -0.138, 0.933, 2.595, 12.802, -9.26
0.178, -0.142, 0.923, 1.863, 10.718, -10.954
0.187, -0.156, 0.922, 0.58, 10.435, -11.931
0.211, -0.144, 0.885, -1.0, 14.809, -11.145
0.192, -0.143, 0.889, -0.321, 16.26, -9.198
0.188, -0.152, 0.919, 0.626, 13.748, -7.664
0.184, -0.162, 0.923, 1.046, 12.695, -3.046
0.164, -0.184, 0.92, 2.87, 7.855, -1.962
0.159, -0.19, 0.909, 1.634, 8.542, -2.794
0.125, -0.21, 0.935, -0.71, 8.878, -5.008
0.114, -0.198, 0.957, -3.489, 7.595, -9.008
0.111, -0.208, 0.952, -7.115, 7.412, -8.924
0.115, -0.211, 0.947, -7.626, 5.382, -10.168
0.162, -0.218, 0.906, -6.275, 5.26, -9.641
0.153, -0.233, 0.891, -1.679, 5.695, -7.427
0.154, -0.217, 0.881, 3.878, 5.221, -7.756
0.151, -0.183, 0.903, 7.435, 6.008, -9.015
0.156, -0.153, 0.942, 7.023, 7.214, -9.16
0.099, -0.152, 0.953, 5.817, 4.695, -5.351
0.133, -0.138, 0.957, 3.588, 6.298, -7.282
0.133, -0.163, 0.964, 2.702, 3.244, -3.786
0.113, -0.177, 0.973, 1.511, 2.702, -4.817
0.112, -0.194, 0.966, 0.229, 3.038, -6.015
0.08, -0.202, 0.948, 0.748, -0.206, -7.443
0.106, -0.196, 0.962, -0.321, -0.282, -7.824
0.117, -0.186, 0.94, -1.542, 1.015, -9.588
0.159, -0.161, 0.928, -2.313, 0.672, -9.229
0.165, -0.145, 0.931, -0.794, 3.969, -9.0
0.171, -0.129, 0.939, 0.351, 2.168, -8.687
0.168, -0.121, 0.951, 1.061, 1.16, -7.618
0.199, -0.09, 0.966, 0.313, -1.008, -5.481
0.208, -0.08, 0.958, -1.328, -2.344, -2.45
0.212, -0.089, 0.94, -3.168, 0.092, 1.489
0.155, -0.142, 0.939, -3.977, -0.008, 2.427
0.151, -0.159, 0.927, -5.053, 1.153, -0.023
