0.146, -0.01, 0.95, -4.641, 5.565, 0.473
0.158, -0.019, 0.954, -3.947, 6.573, -0.198
0.153, -0.018, 0.96, -2.809, 7.115, -1.183
0.143, -0.021, 0.975, -2.985, 6.069, -1.786
0.137, -0.015, 0.969, -4.481, 2.893, -2.679
0.145, -0.017, 0.953, -4.603, 2.076, -3.565
0.148, -0.016, 0.931, -3.55, 2.58, -3.565
0.149, -0.016, 0.917, -2.153, 4.26, -3.603
0.146, -0.005, 0.925, -2.031, 5.489, -3.466
0.153, -0.001, 0.902, -1.931, 7.389, -2.908
0.158, 0.007, 0.907, -3.603, 10.466, -2.351
0.168, -0.013, 0.915, -5.763, 9.901, -2.473
0.178, -0.025, 0.91, -7.267, 11.229, -4.145
0.17, -0.039, 0.919, -6.84, 9.069, -5.176
0.165, -0.057, 0.934, -4.42, 7.351, -4.618
0.155, -0.043, 0.924, -2.748, 5.794, -5.061
0.149, -0.031, 0.917, -0.87, 5.924, -5.229
0.153, -0.012, 0.896, -0.198, 6.13, -4.588
0.141, 0.013, 0.883, -1.374, 4.901, -3.481
0.158, 0.001, 0.882, -2.725, 5.305, -2.817
0.152, -0.004, 0.896, -3.527, 6.885, -3.214
0.133, -0.015, 0.926, -2.954, 6.679, -2.939
0.133, -0.025, 0.935, -0.885, 6.382, -1.87
0.133, -0.026, 0.934, 1.481, 6.076, -2.809
0.14, 0.0, 0.915, 1.832, 5.611, -0.55
0.148, 0.011, 0.888, 0.618, 6.061, -0.595
0.151, 0.001, 0.885, -0.305, 6.473, -1.183
0.15, -0.003, 0.9, -1.71, 8.031, -1.679
0.147, 0.0, 0.925, -2.611, 8.595, -2.298
0.124, -0.004, 0.967, -3.756, 7.527, -2.534
0.116, -0.02, 0.981, -3.214, 5.099, -1.71
0.115, -0.014, 0.978, -0.977, 3.931, -0.229
0.13, -0.012, 0.936, 1.107, 2.687, 0.412
0.142, -0.021, 0.916, 1.405, 3.733, 0.832
0.13, -0.021, 0.918, 0.496, 4.733, -0.794
0.134, -0.015, 0.915, -0.534, 5.084, -0.992
0.128, -0.014, 0.924, -1.305, 4.954, -0.779
0.12, -0.013, 0.943, -0.855, 4.527, 0.336
0.111, -0.007, 0.946, 0.046, 4.901, 0.878
0.106, 0.01, 0.955, -0.305, 2.863, 1.511
0.123, -0.015, 0.922, 0.038, 2.58, 2.229
0.131, -0.01, 0.912, -0.267, 3.328, 1.939
0.123, -0.009, 0.913, -2.382, 2.634, 0.916
0.13, -0.01, 0.925, -4.924, 2.443, 0.191
0.134, -0.019, 0.94, -6.023, 2.969, -0.756
0.122, -0.029, 0.936, -5.321, 2.038, -4.053
0.119, -0.032, 0.953, -4.038, 2.847, -0.351
0.125, -0.024, 0.947, -2.733, 2.252, 0.656
0.13, -0.017, 0.93, -2.336, 2.336, 0.427
0.136, -0.017, 0.918, -2.42, 2.443, 0.107
0.134, -0.01, 0.91, -3.038, 3.092, 0.015
0.134, -0.016, 0.912, -3.672, 2.947, -2.229
0.115, -0.01, 0.927, -4.412, 3.702, -0.985
0.113, -0.017, 0.935, -3.542, 3.214, -1.489
0.115, -0.019, 0.945, -1.588, 4.023, -0.336
0.115, -0.02, 0.942, -0.412, 3.084, -0.13
0.126, -0.01, 0.931, 0.244, 2.855, 0.26
0.116, -0.018, 0.916, -0.756, 1.71, -0.557
0.107, -0.048, 0.908, -1.58, 1.481, -3.183
0.115, -0.019, 0.911, -2.931, 2.198, 0.29
0.113, -0.021, 0.919, -2.473, 2.084, 0.229
0.112, -0.024, 0.921, -1.672, 1.656, 0.305
0.102, -0.026, 0.95, -0.527, 1.931, 0.214
0.102, -0.022, 0.946, 0.328, 2.305, -0.115
0.091, -0.004, 0.935, 0.336, 2.947, 0.305
0.098, -0.003, 0.921, -0.832, 1.924, 1.405
0.101, -0.001, 0.912, -1.0, 2.305, 1.939
