0.103, -0.054, 0.919, -2.618, 9.168, 4.176
0.095, -0.069, 0.928, -2.863, 4.611, -1.756
0.109, -0.077, 0.929, -3.42, 2.382, 3.168
0.129, -0.081, 0.926, -3.679, 1.107, 3.435
0.14, -0.086, 0.926, -4.198, -0.061, 2.611
0.153, -0.101, 0.934, -3.969, 2.763, 3.221
0.146, -0.103, 0.942, -3.412, 3.382, 3.817
0.145, -0.108, 0.942, -2.824, 6.412, 5.023
0.14, -0.013, 0.965, -2.71, 7.489, 8.176
0.129, -0.089, 0.935, -3.542, 6.809, 6.901
0.144, -0.0, 0.948, -4.908, 6.779, 8.038
0.123, -0.093, 0.946, -6.145, 8.046, 7.84
0.132, -0.056, 0.956, -5.977, 5.718, 10.603
0.131, -0.109, 0.953, -4.565, 6.511, 9.725
0.128, -0.104, 0.948, -3.58, 6.061, 9.939
0.119, -0.139, 0.932, -2.267, 6.992, 3.634
0.113, -0.087, 0.92, -3.618, 8.298, 10.13
0.117, -0.079, 0.921, -3.809, 8.183, 12.603
0.104, -0.109, 0.939, -3.611, 8.023, 8.206
0.13, -0.101, 0.945, -3.015, 9.863, 12.519
0.134, -0.115, 0.953, -2.489, 10.046, 11.84
0.122, -0.108, 0.944, -2.122, 11.122, 11.137
0.107, -0.115, 0.958, -2.382, 10.893, 9.588
0.089, -0.116, 0.958, -2.878, 8.145, 8.084
0.096, -0.12, 0.977, -2.427, 5.832, 7.626
0.092, -0.116, 0.969, -2.13, 4.26, 6.206
0.098, -0.116, 0.969, -1.336, 3.802, 5.046
0.106, -0.109, 0.95, -0.351, 4.458, 5.374
0.113, -0.105, 0.937, 0.649, 6.733, 5.748
0.101, -0.095, 0.931, 0.863, 7.695, 5.344
0.101, -0.083, 0.934, 1.328, 6.321, 6.534
0.096, -0.071, 0.927, 0.626, 5.695, 5.748
0.097, -0.075, 0.934, 0.496, 6.511, 4.878
0.096, -0.083, 0.944, 0.389, 5.405, 4.107
0.09, -0.082, 0.939, -0.298, 3.321, 3.244
0.096, -0.076, 0.939, -0.771, 0.992, 2.939
0.092, -0.078, 0.935, -1.206, 0.008, 3.198
0.09, -0.086, 0.925, -1.565, 0.275, 3.031
0.1, -0.083, 0.932, -1.458, 2.901, 2.802
