# timestamp_sec,line
1778009394.355654,I (663320) mpu6050 stream: AX:0.389 AY:0.148 AZ:0.998 | GX:-4.534 GY:-2.947 GZ:-5.878 | T:31.45 C
1778009394.357947,I (664320) mpu6050 stream: AX:0.403 AY:0.129 AZ:0.973 | GX:-3.099 GY:3.313 GZ:1.160 | T:31.54 C
1778009394.360216,I (665320) mpu6050 stream: AX:0.399 AY:0.127 AZ:0.990 | GX:-3.191 GY:3.069 GZ:1.466 | T:31.54 C
1778009394.362869,I (666320) mpu6050 stream: AX:0.412 AY:0.122 AZ:0.946 | GX:-5.863 GY:0.794 GZ:-0.015 | T:31.49 C
1778009394.365418,I (667320) mpu6050 stream: AX:0.421 AY:0.161 AZ:1.004 | GX:-8.214 GY:1.084 GZ:-0.916 | T:31.49 C
1778009394.957896,I (668320) mpu6050 stream: AX:0.426 AY:0.055 AZ:0.963 | GX:-20.000 GY:-6.061 GZ:-40.198 | T:31.49 C
1778009395.958100,I (669320) mpu6050 stream: AX:0.392 AY:0.121 AZ:1.016 | GX:-8.473 GY:-1.740 GZ:-16.947 | T:31.54 C
1778009396.957612,I (670320) mpu6050 stream: AX:0.416 AY:0.104 AZ:0.980 | GX:-5.664 GY:1.237 GZ:0.824 | T:31.68 C
1778009397.957971,I (671320) mpu6050 stream: AX:0.396 AY:0.106 AZ:0.978 | GX:-3.756 GY:2.611 GZ:-1.466 | T:31.73 C
