-0.001, -0.222, 0.919, -2.229, -0.916, -1.779
0.001, -0.218, 0.905, -0.511, -0.504, -2.137
0.023, -0.211, 0.906, 1.924, -1.893, -2.519
0.024, -0.206, 0.917, 4.122, -3.153, 1.985
0.021, -0.197, 0.931, 3.237, -4.145, 6.191
0.019, -0.203, 0.929, 3.099, -4.206, 7.176
0.023, -0.196, 0.92, 1.206, -3.679, 3.924
0.01, -0.204, 0.932, 1.046, -3.603, 0.603
0.02, -0.208, 0.921, 1.229, -5.473, -1.198
0.048, -0.195, 0.902, 1.328, -2.176, -1.473
0.009, -0.208, 0.912, 1.092, -2.466, -0.374
0.017, -0.21, 0.927, 0.305, -3.305, -2.244
0.021, -0.21, 0.912, 1.099, -5.084, -4.237
0.034, -0.21, 0.92, 2.626, -9.756, -2.298
0.065, -0.194, 0.922, 3.817, -9.382, -0.275
0.066, -0.179, 0.91, 3.969, -8.359, 1.664
0.062, -0.189, 0.94, 2.305, -4.466, 3.427
0.047, -0.192, 0.932, -1.061, -3.145, 2.13
0.037, -0.197, 0.92, -3.168, 2.87, 0.634
0.0, -0.216, 0.919, -3.901, -0.595, -4.656
0.005, -0.227, 0.92, -0.985, -5.58, -4.588
0.052, -0.21, 0.917, 0.519, -6.137, -3.176
0.039, -0.218, 0.926, 0.389, -5.374, -3.603
0.036, -0.212, 0.934, -0.725, -3.321, -4.626
0.061, -0.197, 0.932, -3.176, 0.824, -6.863
0.048, -0.191, 0.927, -5.672, 4.779, -7.969
0.04, -0.197, 0.927, -6.649, 4.595, -10.153
0.037, -0.186, 0.943, -7.145, 1.435, -11.229
0.034, -0.186, 0.945, -8.802, 0.107, -10.183
0.061, -0.195, 0.936, -10.557, 2.405, -11.206
0.044, -0.211, 0.908, -11.298, 3.802, -11.58
0.056, -0.207, 0.932, -12.092, 6.489, -9.779
0.053, -0.205, 0.917, -11.168, 4.26, -6.786
0.073, -0.208, 0.905, -9.939, 6.321, -4.298
0.051, -0.215, 0.897, -8.267, 5.687, -2.641
0.048, -0.217, 0.913, -7.405, 5.931, -2.626
0.043, -0.227, 0.913, -7.023, 6.519, -1.802
0.021, -0.252, 0.909, -4.954, 5.0, -1.771
0.036, -0.244, 0.904, -2.855, 1.58, 0.176
0.054, -0.23, 0.916, -2.046, 2.939, 0.87
0.017, -0.216, 0.949, -1.664, 1.504, 0.221
0.015, -0.219, 0.944, -1.901, 0.122, 1.198
0.026, -0.221, 0.933, -3.405, 1.901, -0.893
0.031, -0.223, 0.928, -6.45, 6.412, -3.802
0.032, -0.247, 0.908, -7.252, 8.771, -7.198
0.031, -0.245, 0.901, -5.427, 6.191, -5.718
0.044, -0.229, 0.911, -2.924, 4.511, -2.076
0.036, -0.223, 0.914, -0.939, 0.382, 0.145
0.053, -0.215, 0.921, 0.214, -0.939, 1.359
0.036, -0.221, 0.922, -0.427, 0.252, 0.298
0.045, -0.227, 0.914, -1.374, 1.885, 0.099
0.007, -0.24, 0.918, -1.145, 1.473, -1.489
-0.003, -0.249, 0.953, -0.878, 1.802, -3.473
0.015, -0.253, 0.896, -0.641, 0.672, -2.725
-0.002, -0.248, 0.925, -1.977, 4.397, -4.985
0.06, -0.228, 0.875, 1.076, 1.794, -1.015
0.04, -0.217, 0.933, 0.031, 4.611, -1.412
0.041, -0.207, 0.926, -0.076, 3.618, -2.038
0.038, -0.2, 0.92, -1.71, 1.099, -1.702
0.037, -0.201, 0.942, -3.702, 4.885, -4.214
0.024, -0.203, 0.934, -4.489, 2.939, -2.595
0.037, -0.205, 0.91, -5.344, 3.405, -4.298
0.018, -0.229, 0.912, -3.885, 1.977, -3.863
0.001, -0.235, 0.911, -1.046, -2.275, -2.824
0.021, -0.229, 0.905, -0.397, -3.351, -2.565
0.021, -0.228, 0.904, 0.321, -1.824, -3.481
0.035, -0.211, 0.919, 0.031, -2.382, -3.115
0.045, -0.205, 0.918, -1.046, -1.969, -2.649
0.045, -0.208, 0.919, -3.618, 0.916, -2.58
0.05, -0.219, 0.904, -4.618, 2.756, -2.542
0.047, -0.227, 0.895, -4.237, 4.092, -0.779
0.032, -0.235, 0.894, -3.412, 3.29, -2.122
0.031, -0.243, 0.891, -2.382, 2.031, -3.817
0.03, -0.23, 0.907, -1.336, 3.229, -5.603
0.035, -0.226, 0.908, -0.924, 1.611, -6.687
0.029, -0.227, 0.907, -0.107, 1.687, -7.214
0.013, -0.223, 0.929, 0.519, -0.427, -7.481
0.031, -0.211, 0.918, 0.206, -0.641, -7.267
0.048, -0.205, 0.914, -0.221, 0.969, -5.954
0.043, -0.193, 0.926, -0.16, 0.527, -4.092
0.051, -0.185, 0.931, -0.565, -0.71, -3.397
0.052, -0.186, 0.923, -1.305, 0.473, -2.099
0.05, -0.189, 0.92, -2.214, 1.473, 0.061
0.041, -0.196, 0.938, -3.282, 0.328, -0.275
0.034, -0.211, 0.926, -4.71, 1.649, -0.947
0.042, -0.208, 0.917, -5.473, 1.794, 0.244
0.046, -0.222, 0.905, -4.87, 3.26, 1.771
0.024, -0.235, 0.901, -3.229, 2.847, 3.023
0.007, -0.248, 0.919, -1.748, -0.244, 0.863
0.022, -0.248, 0.911, -0.183, -3.13, -2.031
0.039, -0.232, 0.92, -0.13, -1.015, -4.168
0.042, -0.221, 0.93, -0.55, -0.84, -3.198
0.053, -0.215, 0.921, -0.847, 0.405, -1.687
0.041, -0.223, 0.93, -0.656, 0.725, 0.382
0.035, -0.219, 0.925, -0.389, -1.565, 2.313
0.032, -0.216, 0.928, -0.954, -0.954, 2.313
0.034, -0.224, 0.912, -1.603, 0.053, 0.229
0.04, -0.238, 0.902, -0.992, -0.031, -0.237
0.033, -0.241, 0.906, -1.061, 0.947, -0.817
0.033, -0.23, 0.904, -0.573, 2.504, -0.427
0.053, -0.211, 0.913, -1.115, 2.824, 1.725
0.07, -0.211, 0.911, -3.069, 5.458, 2.725
0.058, -0.201, 0.921, -4.038, 5.763, 4.183
0.054, -0.211, 0.904, -4.55, 6.588, 1.71
0.035, -0.23, 0.903, -3.664, 6.336, 0.374
0.021, -0.238, 0.897, -1.733, 3.817, -1.382
0.029, -0.233, 0.9, 0.298, 1.313, -0.916
0.028, -0.229, 0.914, 0.756, 2.489, -1.687
0.022, -0.219, 0.929, 1.206, 0.206, -1.779
0.04, -0.195, 0.935, -0.519, -0.252, -1.214
0.046, -0.193, 0.942, -3.053, 1.26, -1.756
0.035, -0.205, 0.923, -4.115, 1.511, -2.908
0.033, -0.204, 0.924, -4.649, 2.328, -3.74
