# timestamp_sec,line
1778008987.743463,I (256320) mpu6050 stream: AX:0.439 AY:0.266 AZ:0.883 | GX:3.252 GY:5.328 GZ:6.580 | T:30.18 C
1778008987.744737,I (257320) mpu6050 stream: AX:0.431 AY:0.034 AZ:0.964 | GX:-0.183 GY:0.305 GZ:-3.069 | T:30.22 C
1778008987.745843,I (258320) mpu6050 stream: AX:0.360 AY:-0.011 AZ:0.999 | GX:-8.687 GY:20.870 GZ:-1.481 | T:30.22 C
1778008987.746857,I (259320) mpu6050 stream: AX:0.430 AY:0.048 AZ:0.993 | GX:-4.076 GY:0.748 GZ:2.565 | T:30.32 C
1778008987.747838,I (260320) mpu6050 stream: AX:0.414 AY:0.032 AZ:0.981 | GX:-4.443 GY:1.573 GZ:-0.183 | T:30.22 C
1778008987.962790,I (261320) mpu6050 stream: AX:0.172 AY:-0.062 AZ:1.062 | GX:3.786 GY:10.718 GZ:27.908 | T:30.22 C
1778008988.961151,I (262320) mpu6050 stream: AX:0.399 AY:0.385 AZ:0.878 | GX:27.191 GY:0.351 GZ:-15.863 | T:30.18 C
1778008989.962534,I (263320) mpu6050 stream: AX:0.291 AY:0.453 AZ:0.950 | GX:-18.595 GY:-2.809 GZ:7.924 | T:30.18 C
1778008990.962252,I (264320) mpu6050 stream: AX:0.394 AY:0.271 AZ:0.946 | GX:0.183 GY:5.878 GZ:-1.603 | T:30.18 C
